iter	Passed	Remaining
259	596	1697
260	598	1693
261	601	1693
262	603	1691
263	605	1687
264	606	1682
265	607	1676
266	609	1672
267	610	1668
268	612	1664
269	616	1665
270	618	1663
271	621	1662
272	622	1658
273	624	1654
274	626	1652
275	628	1647
276	629	1643
277	631	1639
278	632	1634
279	634	1630
280	635	1626
281	637	1621
282	638	1617
283	641	1617
284	643	1613
285	644	1609
286	646	1605
287	647	1601
288	649	1596
289	650	1592
290	652	1588
291	653	1585
292	655	1581
293	656	1576
294	658	1572
295	659	1568
296	660	1564
297	662	1560
298	663	1556
299	664	1551
300	666	1547
301	667	1543
302	669	1539
303	670	1535
304	672	1531
305	673	1527
306	675	1523
307	676	1520
308	678	1516
309	680	1514
310	681	1510
311	683	1506
312	684	1502
313	685	1498
314	687	1494
315	688	1490
316	690	1486
317	691	1483
318	693	1480
319	694	1476
320	696	1472
321	697	1469
322	699	1465
323	700	1461
324	702	1458
325	703	1455
326	705	1452
327	707	1448
328	708	1445
329	710	1441
330	711	1438
331	713	1434
332	714	1431
333	716	1427
334	717	1424
335	719	1420
336	720	1417
337	722	1414
338	723	1411
339	725	1407
340	726	1404
341	728	1400
342	729	1397
343	731	1394
344	732	1390
345	733	1387
346	735	1384
347	736	1380
348	738	1377
349	739	1373
350	741	1370
351	742	1367
352	744	1364
353	747	1363
354	749	1360
355	750	1358
356	751	1354
357	753	1350
358	754	1347
359	756	1344
360	758	1341
361	759	1338
362	761	1335
363	764	1335
364	765	1331
365	767	1328
366	781	1347
367	782	1344
368	787	1346
369	788	1343
370	790	1339
371	793	1340
372	795	1337
373	797	1334
374	799	1332
375	800	1329
376	802	1325
377	803	1322
378	805	1320
379	807	1317
380	809	1314
381	810	1311
382	811	1308
383	813	1304
384	815	1302
385	816	1299
386	818	1296
387	820	1293
388	821	1290
389	823	1287
390	824	1284
391	826	1281
392	827	1278
393	829	1275
394	830	1272
395	833	1270
396	834	1268
397	836	1265
398	838	1263
399	840	1260
400	841	1257
401	843	1254
402	845	1251
403	846	1249
404	848	1246
405	850	1243
406	851	1240
407	852	1237
408	856	1237
409	857	1234
410	860	1233
411	862	1230
412	863	1227
413	866	1225
414	867	1223
415	869	1220
416	871	1218
417	875	1218
418	882	1223
419	884	1221
420	885	1218
421	890	1219
422	892	1217
423	895	1216
424	896	1213
425	898	1210
426	903	1213
427	908	1213
428	909	1210
429	911	1207
430	912	1205
431	915	1203
432	918	1202
433	920	1200
434	924	1200
435	926	1198
436	932	1200
437	937	1203
438	939	1200
439	941	1198
440	944	1197
441	946	1194
442	948	1192
443	949	1189
444	952	1187
445	953	1184
446	954	1181
447	959	1181
448	960	1179
449	962	1176
450	964	1173
451	965	1170
452	967	1168
453	969	1166
454	971	1163
455	974	1162
456	975	1159
457	977	1156
458	979	1154
459	981	1151
460	983	1150
461	985	1147
462	987	1144
463	989	1143
464	991	1140
465	992	1137
466	994	1135
467	997	1134
468	999	1131
469	1000	1128
470	1002	1126
471	1004	1123
472	1006	1121
473	1007	1118
474	1010	1116
475	1011	1113
476	1013	1110
477	1014	1108
478	1016	1105
479	1018	1102
480	1019	1100
481	1021	1097
482	1024	1096
483	1025	1093
484	1026	1090
485	1028	1087
486	1029	1084
487	1031	1081
488	1032	1078
489	1033	1076
490	1035	1073
491	1037	1070
492	1038	1067
493	1039	1065
494	1041	1062
495	1042	1059
496	1044	1056
497	1045	1053
498	1046	1051
499	1048	1048
500	1050	1046
501	1051	1043
502	1053	1040
503	1054	1037
504	1056	1035
505	1057	1032
506	1058	1029
507	1060	1026
508	1061	1023
509	1063	1021
510	1066	1020
511	1068	1018
512	1070	1015
513	1071	1013
514	1073	1010
515	1075	1008
516	1077	1006
517	1079	1004
518	1081	1002
519	1083	1000
520	1086	999
521	1089	997
522	1091	995
523	1093	992
524	1094	990
525	1096	987
526	1097	985
527	1099	982
528	1100	980
529	1103	978
530	1104	975
531	1106	973
532	1107	970
533	1109	968
534	1111	965
535	1112	963
536	1114	960
537	1115	957
538	1117	955
539	1118	952
540	1119	950
541	1121	947
542	1122	944
543	1124	942
544	1125	939
545	1127	937
546	1128	934
547	1131	932
548	1132	930
549	1133	927
550	1135	925
551	1137	923
552	1139	921
553	1141	919
554	1143	917
555	1144	914
556	1147	912
557	1148	909
558	1150	907
559	1151	904
560	1152	901
561	1153	899
562	1155	896
563	1156	894
564	1158	891
565	1159	889
566	1161	887
567	1163	884
568	1165	882
569	1166	880
570	1168	877
571	1169	875
572	1171	872
573	1173	870
574	1175	868
575	1177	866
576	1180	865
577	1181	862
578	1184	861
579	1186	859
580	1188	856
581	1189	854
582	1191	852
583	1192	849
584	1194	847
585	1196	845
586	1198	843
587	1200	841
588	1202	839
589	1204	836
590	1205	834
591	1208	832
592	1209	830
593	1212	828
594	1213	826
595	1215	823
596	1218	822
597	1219	819
598	1221	817
599	1223	815
600	1225	813
601	1226	811
602	1228	808
603	1230	806
604	1231	804
605	1234	802
606	1236	800
607	1238	798
608	1239	795
609	1241	793
610	1243	791
611	1245	789
612	1248	788
613	1249	785
614	1251	783
615	1268	790
616	1271	789
617	1273	787
618	1277	786
619	1279	784
620	1281	782
621	1283	779
622	1284	777
623	1286	775
624	1288	773
625	1291	771
626	1293	769
627	1295	767
628	1297	765
629	1298	762
630	1300	760
631	1304	759
632	1306	757
633	1308	755
634	1309	752
635	1311	750
636	1314	749
637	1317	747
638	1320	746
639	1322	743
640	1323	741
641	1325	739
642	1328	737
643	1332	736
644	1334	734
645	1337	732
646	1339	730
647	1341	728
648	1344	727
649	1347	725
650	1350	723
651	1352	722
652	1356	720
653	1359	719
654	1361	717
655	1366	716
656	1368	714
657	1372	713
658	1374	711
659	1379	710
660	1380	708
661	1382	705
662	1386	704
663	1389	703
664	1393	701
665	1398	701
666	1404	701
667	1408	699
668	1410	698
669	1413	696
670	1415	694
671	1420	693
672	1422	690
673	1423	688
674	1425	686
675	1427	684
676	1431	682
677	1433	680
678	1436	679
679	1438	676
680	1440	674
681	1442	672
682	1445	671
683	1447	668
684	1449	666
685	1452	664
686	1454	662
687	1458	661
688	1459	658
689	1463	657
690	1464	655
691	1466	652
692	1469	651
693	1472	649
694	1473	646
695	1475	644
696	1476	642
697	1478	639
698	1481	637
699	1482	635
700	1483	632
701	1486	631
702	1488	628
703	1490	626
704	1494	625
705	1496	623
706	1498	620
707	1500	618
708	1506	618
709	1511	617
710	1514	615
711	1515	613
712	1517	610
713	1521	609
714	1523	607
715	1527	605
716	1528	603
717	1532	601
718	1535	600
719	1538	598
720	1540	596
721	1543	594
722	1551	594
723	1554	592
724	1556	590
725	1557	587
726	1560	585
727	1562	583
728	1565	581
729	1567	579
730	1570	577
731	1571	575
732	1575	573
733	1577	571
734	1579	569
735	1581	567
736	1583	565
737	1587	563
738	1590	561
739	1595	560
740	1603	560
741	1605	558
742	1608	556
743	1610	554
744	1612	551
745	1617	550
746	1619	548
747	1621	546
748	1623	543
749	1626	542
750	1629	540
751	1632	538
752	1634	536
753	1636	533
754	1637	531
755	1639	529
756	1642	527
757	1644	524
758	1645	522
759	1647	520
760	1649	518
761	1651	515
762	1653	513
763	1655	511
764	1659	509
765	1661	507
766	1663	505
767	1665	503
768	1667	500
769	1669	498
770	1671	496
771	1673	494
772	1677	492
773	1679	490
774	1683	488
775	1685	486
776	1686	484
777	1690	482
778	1694	480
779	1697	478
780	1699	476
781	1701	474
782	1703	472
783	1705	469
784	1707	467
785	1708	465
786	1711	463
787	1713	461
788	1715	458
789	1718	456
790	1720	454
791	1722	452
792	1724	450
793	1725	447
794	1727	445
795	1729	443
796	1730	440
797	1732	438
798	1734	436
799	1735	433
800	1737	431
801	1739	429
802	1741	427
803	1742	424
804	1745	422
805	1747	420
806	1750	418
807	1752	416
808	1754	414
809	1756	412
810	1760	410
811	1761	407
812	1763	405
813	1765	403
814	1767	401
815	1769	399
816	1771	396
817	1773	394
818	1776	392
819	1778	390
820	1781	388
821	1782	386
822	1785	383
823	1788	381
824	1789	379
825	1793	377
826	1795	375
827	1798	373
828	1800	371
829	1802	369
830	1803	366
831	1806	364
832	1810	362
833	1812	360
834	1814	358
835	1816	356
836	1818	354
837	1831	354
838	1835	352
839	1837	349
840	1839	347
841	1842	345
842	1845	343
843	1851	342
844	1857	340
845	1859	338
846	1860	336
847	1865	334
848	1867	332
849	1869	329
850	1872	327
851	1874	325
852	1877	323
853	1878	321
854	1880	318
855	1883	316
856	1885	314
857	1888	312
858	1890	310
859	1892	308
860	1895	306
861	1897	303
862	1901	301
863	1904	299
864	1907	297
865	1909	295
866	1911	293
867	1913	290
868	1915	288
869	1918	286
870	1920	284
871	1922	282
872	1924	279
873	1926	277
874	1929	275
875	1931	273
876	1935	271
877	1938	269
878	1940	267
879	1942	264
880	1944	262
881	1947	260
882	1949	258
883	1951	256
884	1953	253
885	1956	251
886	1959	249
887	1961	247
888	1964	245
889	1966	243
890	1970	241
891	1973	238
892	1976	236
893	1977	234
894	1979	232
895	1981	230
896	1983	227
897	1987	225
898	1989	223
899	1992	221
900	1994	219
901	1997	217
902	2000	214
903	2002	212
904	2005	210
905	2008	208
906	2010	206
907	2012	203
908	2014	201
909	2017	199
910	2019	197
911	2021	195
912	2024	192
913	2026	190
914	2028	188
915	2030	186
916	2033	184
917	2035	181
918	2037	179
919	2040	177
920	2042	175
921	2044	172
922	2047	170
923	2050	168
924	2052	166
925	2054	164
926	2056	161
927	2058	159
928	2061	157
929	2065	155
930	2067	153
931	2069	150
932	2071	148
933	2073	146
934	2075	144
935	2078	142
936	2080	139
937	2082	137
938	2085	135
939	2087	133
940	2089	131
941	2092	128
942	2094	126
943	2097	124
944	2099	122
945	2100	119
946	2104	117
947	2105	115
948	2109	113
949	2110	111
950	2113	108
951	2115	106
952	2117	104
953	2119	102
954	2121	99
955	2123	97
956	2125	95
957	2128	93
958	2130	91
959	2132	88
960	2135	86
961	2137	84
962	2139	82
963	2141	79
964	2144	77
965	2146	75
966	2149	73
967	2154	71
968	2156	68
969	2158	66
970	2161	64
971	2163	62
972	2166	60
973	2168	57
974	2170	55
975	2172	53
976	2174	51
977	2176	48
978	2179	46
979	2181	44
980	2185	42
981	2187	40
982	2189	37
983	2191	35
984	2193	33
985	2195	31
986	2198	28
987	2200	26
988	2203	24
989	2206	22
990	2208	20
991	2211	17
992	2218	15
993	2222	13
994	2230	11
995	2235	8
996	2238	6
997	2241	4
998	2244	2
999	2250	0
